Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0435473690434107,1.17997614128007E-05,0.0287937526281165,0,0,0,0.0018041458873072,5.57253919532693E-06,1.37726350479977E-09,-5.39434440046955E-07,1.3350889393047E-05,4.44256496278085E-10,1.65400951616761E-05,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/base_link.STL,,base_link - base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base,0.00593376045129157,-0.0102783931190458,0.0807629659984603,0,0,0,2.09087147168582,0.0126121405030406,0.00171793394441163,0.000198226367635142,0.0106673099333173,-0.000357915520792024,0.00889750578184586,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/base.STL,,moveo_basev2.step-1,Origin_joint_1,,joint_1,fixed,0,0,0.0815,0,0,0,base_link,0,0,0,,,,,,,,,,,,
shoulder,0.00228035294361884,-0.000578479190433079,0.0799239207906079,0,0,0,1.93112891766507,0.0168697587435755,0.000354924085610292,-0.000323179954366422,0.0164798999076345,-4.55741001263013E-05,0.00360671380699866,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/shoulder.STL,,moveo_shoulder_1.step-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,0,0.165,0,0,0,base,0.50262,-0.86451,0,,,,,,,,,,,,
elbow,0.00549373333042269,0.00342647660298678,0.0425617834730632,0,0,0,0.777946566529434,0.00225675394157861,-2.10325197804897E-05,-0.000211707403064047,0.00229127982227331,-8.80850998074562E-05,0.000764712802946886,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/elbow.STL,,mover_elbow_1.step-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0.004293,0.0024959,0.22107,0,0,0,shoulder,0.50262,-0.86451,0,,,,,,,,,,,,
wrist_1,0.00800574131625664,0.0076030233292857,0.0715205754990551,0,0,0,0.33602520481918,0.000654687920046612,5.53423813651438E-05,-4.62264545846979E-05,0.000610888200982161,-1.48828011283577E-05,0.00035532248887942,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/wrist_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/wrist_1.STL,,moveo_wrist_1_1.step-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0.014696,0.0079644,0.11117,0,0,0,elbow,0.12848,0.074696,0.9889,,,,,,,,,,,,
wrist_2,0.000597046698577075,-0.000107802534377199,0.00379947445468587,0,0,0,0.158624017621221,9.43691826719323E-05,-7.875537417855E-06,-1.84479449623993E-06,0.000101108847750612,-1.45323121425242E-07,7.52986890223364E-05,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/wrist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/wrist_2.STL,,moveo_wrist_2_1.step-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0.014913,0.0086704,0.11479,0,0,0,wrist_1,0.55489,-0.83187,-0.0092557,,,,,,,,,,,,
gripper,0.0618799869897592,0.0385466255267335,0.730566771631085,0,0,0,0.0669550605348651,2.38978263697414E-05,-3.05217677820959E-06,4.11464507653985E-06,3.13270293332866E-05,1.93637035495801E-06,3.58738690029619E-05,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://moveo_urdf_sld/meshes/gripper.STL,,gripper_base_1.step-1,Origin_joint_6,,joint_6,fixed,-0.06921,-0.041845,-0.66711,0,0,0,wrist_2,0,0,0,,,,,,,,,,,,
